PLAYER,TEAM,AGE,GAMES_PLAYED,WINS,LOSSES,MIN_TOTAL,MIN_PER_GAME,DEF_RTG,DREB_TOTAL,DREB_PER_GAME,DREB_PCT,PCT_TEAM_DREB,STL_TOTAL,STL_PER_GAME,PCT_TEAM_STL,BLK_TOTAL,BLK_PER_GAME,PCT_TEAM_BLK,OPP_PTS_OFF_TOV_TOTAL,OPP_PPG_OFF_TOV,OPP_2ND_CHANCE_PTS_TOTAL,OPP_2ND_CHANCE_PPG,OPP_FB_PTS_TOTAL,OPP_FB_PPG,OPP_PAINT_PTS_TOTAL,OPP_PAINT_PPG,DEF_WS_TOTAL,DEF_WS_PER_GAME
Luka Don?i?,LAL,26,50,31,19,1769,35.4,110.5,369,7.4,19.8,29.9,89,1.8,28.5,21,0.4,12.1,605,12.1,480,9.6,607,12.1,1702,34,6.3,0.126
Luka Garza,MIN,26,39,28,11,219,5.6,107.5,23,0.6,10.3,16.5,6,0.2,15.4,3,0.1,20,81,2.1,54,1.4,69,1.8,224,5.7,1,0.026
Luke Kennard,MEM,29,65,37,28,1472,22.6,114.5,146,2.2,9.4,14.3,50,0.8,19.6,5,0.1,3,641,9.9,493,7.6,567,8.7,1528,23.5,3.5,0.054
Luke Kornet,BOS,29,73,53,20,1361,18.6,106.3,198,2.7,13.9,20.8,36,0.5,17.7,71,1,48.6,355,4.9,346,4.7,373,5.1,1150,15.8,6.4,0.087
Luke Travers,CLE,23,12,10,2,88,7.3,109.7,12,1,10.8,18.8,1,0.1,10,1,0.1,8.3,32,2.7,31,2.6,40,3.3,108,9,0.3,0.028
Mac McClung,ORL,26,2,1,1,10,5.1,128.6,1,0.5,10,14.3,0,0,0,0,0,0,7,3.5,4,2,5,2.5,12,6,0,-0.009
Malachi Flynn,CHA,27,4,2,2,44,10.9,109.1,4,1,8,13.8,3,0.8,75,0,0,0,11,2.8,13,3.3,9,2.3,54,13.5,0.2,0.042
Malaki Branham,SAS,22,47,18,29,427,9.1,109.8,44,0.9,9.3,14.1,11,0.2,17.7,2,0,3.8,165,3.5,114,2.4,162,3.4,466,9.9,1.6,0.035
Malcolm Brogdon,WAS,32,24,6,18,564,23.5,116.9,70,2.9,11.9,17.8,13,0.5,16.5,5,0.2,10.2,230,9.6,175,7.3,178,7.4,622,25.9,0.9,0.04
Malevy Leons,OKC,25,6,6,0,21,3.5,104.7,2,0.3,9.5,15.4,0,0,0,0,0,0,6,1,6,1,7,1.2,20,3.3,0.1,0.018
Malik Beasley,DET,28,82,44,38,2283,27.8,110.2,167,2,6.9,10.4,73,0.9,19.6,5,0.1,1.9,830,10.1,698,8.5,654,8,2206,26.9,8.4,0.102
Malik Monk,SAC,27,65,36,29,2054,31.6,114.5,215,3.3,10.4,15.4,61,0.9,18.6,38,0.6,20.4,700,10.8,592,9.1,560,8.6,2074,31.9,5,0.077
MarJon Beauchamp,NYK,24,35,19,16,156,4.5,92,33,0.9,19.8,28.7,4,0.1,12.9,1,0,6.7,90,2.6,42,1.2,37,1.1,122,3.5,1.5,0.043
Marcus Bagley,PHI,23,10,1,9,253,25.3,117,47,4.7,17.5,28.8,9,0.9,19.6,12,1.2,33.3,87,8.7,95,9.5,102,10.2,288,28.8,0.4,0.043
Marcus Garrett,CHA,26,4,1,3,79,19.8,119.3,5,1.3,5.7,9.6,3,0.8,27.3,2,0.5,14.3,39,9.8,22,5.5,27,6.8,68,17,0.1,0.02
Marcus Sasser,DET,24,57,30,27,811,14.2,107.5,51,0.9,6,9.5,37,0.6,23.3,4,0.1,4.4,317,5.6,279,4.9,236,4.1,752,13.2,3.6,0.063
Marcus Smart,WAS,31,34,17,17,680,20,107.3,54,1.6,6.9,11.2,39,1.1,28.3,9,0.3,11,257,7.6,230,6.8,213,6.3,676,19.9,3.2,0.093
Mark Williams,CHA,23,44,9,35,1171,26.6,118.9,315,7.2,25.5,37.6,32,0.7,20.1,54,1.2,49.5,464,10.5,346,7.9,473,10.8,1254,28.5,1.3,0.03
Markelle Fultz,SAC,27,21,9,12,184,8.8,105.7,14,0.7,7.7,11.5,10,0.5,32.3,2,0.1,16.7,65,3.1,38,1.8,52,2.5,172,8.2,0.9,0.043
Markieff Morris,LAL,35,15,7,8,164,11,113.9,20,1.3,11.4,16.8,2,0.1,9.1,3,0.2,20,46,3.1,50,3.3,67,4.5,158,10.5,0.4,0.029
Marvin Bagley III,MEM,26,31,7,24,265,8.6,108.8,46,1.5,15.9,25.4,9,0.3,16.7,8,0.3,28.6,105,3.4,93,3,79,2.5,260,8.4,1.1,0.034
Mason Jones,SAC,26,10,4,6,45,4.5,105.3,7,0.7,14.9,26.9,0,0,0,1,0.1,33.3,17,1.7,9,0.9,12,1.2,28,2.8,0.2,0.023
Mason Plumlee,PHX,35,74,33,41,1300,17.6,115,339,4.6,25.3,38.6,33,0.4,15.9,47,0.6,36.2,495,6.7,363,4.9,470,6.4,1302,17.6,2.9,0.04
Matas Buzelis,CHI,20,80,39,41,1511,18.9,112.1,223,2.8,13.3,19.4,29,0.4,13.4,75,0.9,41.9,602,7.5,476,6,489,6.1,1624,20.3,4.7,0.058
Matisse Thybulle,POR,28,15,8,7,312,20.8,105.1,38,2.5,12.2,18.7,33,2.2,47.8,9,0.6,25.7,125,8.3,80,5.3,113,7.5,336,22.4,1.6,0.108
Matt Ryan,NYK,28,19,14,5,68,3.6,108.8,8,0.4,11.3,16,2,0.1,22.2,0,0,0,41,2.2,17,0.9,22,1.2,78,4.1,0.3,0.015
Max Christie,DAL,22,78,40,38,2127,27.3,114.3,220,2.8,10.2,15.6,64,0.8,18.3,31,0.4,14.9,695,8.9,690,8.8,677,8.7,2438,31.3,5.2,0.067
Max Strus,CLE,29,50,39,11,1273,25.5,112.2,164,3.3,11.8,17.9,26,0.5,13.8,12,0.2,11.8,433,8.7,370,7.4,425,8.5,1270,25.4,3.9,0.077
Maxi Kleber,LAL,33,34,18,16,637,18.7,112.3,70,2.1,10.5,16.4,9,0.3,10.2,17,0.5,23.6,232,6.8,198,5.8,190,5.6,644,18.9,2,0.058
Maxwell Lewis,BKN,22,28,9,19,328,11.7,110.7,37,1.3,11.8,17.5,9,0.3,15.5,7,0.3,25,119,4.3,83,3,117,4.2,356,12.7,1.2,0.041
Micah Potter,UTA,27,38,10,28,705,18.6,116.2,121,3.2,15.3,23.3,14,0.4,14.9,14,0.4,24.6,260,6.8,247,6.5,277,7.3,738,19.4,1.3,0.035
Michael Porter Jr.,DEN,27,77,47,30,2593,33.7,115.4,402,5.2,14.6,22,50,0.6,11.9,38,0.5,14.3,965,12.5,785,10.2,947,12.3,2876,37.4,5.5,0.071
